epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2643,0.0666,0.3177,0.3453,0.0536
1,0.3235,0.0528,0.3083,0.3749,0.0534
2,0.3433,0.0497,0.3666,0.3777,0.0489
3,0.3583,0.0477,0.3900,0.4036,0.0470
4,0.3758,0.0461,0.3955,0.3981,0.0470
5,0.3940,0.0441,0.4228,0.4432,0.0435
6,0.4123,0.0422,0.4406,0.4662,0.0421
7,0.4237,0.0418,0.3997,0.4820,0.0421
8,0.4373,0.0407,0.4520,0.4945,0.0397
9,0.4461,0.0397,0.4633,0.5131,0.0388
10,0.4586,0.0390,0.4909,0.5236,0.0385
11,0.4687,0.0379,0.4782,0.5342,0.0374
12,0.4799,0.0373,0.4948,0.5432,0.0368
13,0.4870,0.0365,0.5165,0.5531,0.0367
14,0.4945,0.0359,0.4978,0.5632,0.0356
15,0.5010,0.0353,0.5271,0.5719,0.0353
16,0.5079,0.0351,0.4882,0.5712,0.0352
17,0.5135,0.0347,0.5497,0.5746,0.0358
18,0.5178,0.0342,0.4770,0.5771,0.0348
19,0.5239,0.0336,0.5432,0.5939,0.0336
