epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.5257,0.0390,0.6933,0.7130,0.0275
1,0.6978,0.0208,0.5078,0.7070,0.0286
2,0.7658,0.0154,0.7957,0.8079,0.0223
3,0.8189,0.0110,0.7121,0.8171,0.0152
4,0.8577,0.0082,0.8370,0.8672,0.0139
5,0.8867,0.0056,0.8641,0.8912,0.0113
6,0.9059,0.0043,0.7843,0.8551,0.0124
7,0.9314,0.0029,0.8865,0.8937,0.0148
8,0.9460,0.0021,0.8917,0.8995,0.0157
9,0.9495,0.0019,0.8784,0.8849,0.0222
10,0.9558,0.0016,0.8955,0.9093,0.0145
11,0.9625,0.0014,0.8884,0.9038,0.0157
12,0.9549,0.0017,0.8841,0.9050,0.0137
13,0.9675,0.0012,0.8441,0.8847,0.0133
14,0.9688,0.0012,0.8358,0.8922,0.0130
15,0.9656,0.0013,0.9011,0.9069,0.0182
16,0.9769,0.0009,0.8754,0.9005,0.0138
17,0.9770,0.0009,0.9034,0.9053,0.0243
18,0.9753,0.0009,0.9044,0.9089,0.0196
19,0.9800,0.0007,0.9028,0.9141,0.0169
