epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.4644,0.0376,0.5789,0.6531,0.0236
1,0.6505,0.0205,0.6413,0.7381,0.0179
2,0.7262,0.0151,0.7197,0.7860,0.0146
3,0.7821,0.0113,0.6174,0.7611,0.0169
4,0.8268,0.0082,0.8313,0.8607,0.0126
5,0.8684,0.0056,0.8473,0.8604,0.0150
6,0.8892,0.0044,0.8450,0.8514,0.0207
7,0.9222,0.0026,0.8642,0.8809,0.0159
8,0.9308,0.0022,0.8675,0.8857,0.0149
9,0.9418,0.0018,0.8277,0.8728,0.0129
10,0.9423,0.0018,0.8737,0.8866,0.0156
11,0.9552,0.0014,0.8630,0.8846,0.0175
12,0.9557,0.0013,0.8833,0.8962,0.0182
13,0.9600,0.0012,0.8796,0.8924,0.0164
14,0.9610,0.0012,0.8852,0.8965,0.0179
15,0.9729,0.0008,0.8869,0.8930,0.0235
16,0.9675,0.0009,0.8835,0.8878,0.0272
17,0.9710,0.0009,0.8835,0.8907,0.0226
18,0.9743,0.0007,0.8802,0.8830,0.0314
19,0.9744,0.0008,0.8855,0.8967,0.0204
