epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2674,0.0629,0.2722,0.3533,0.0598
1,0.3525,0.0488,0.3575,0.3584,0.0504
2,0.4059,0.0438,0.4311,0.4681,0.0427
3,0.4452,0.0405,0.4666,0.5134,0.0397
4,0.4730,0.0381,0.4653,0.5444,0.0381
5,0.4944,0.0362,0.5253,0.5646,0.0366
6,0.5159,0.0343,0.5238,0.5898,0.0347
7,0.5282,0.0332,0.5390,0.6076,0.0333
8,0.5413,0.0320,0.5016,0.6114,0.0336
9,0.5520,0.0313,0.5754,0.6218,0.0326
10,0.5622,0.0303,0.5642,0.6333,0.0311
11,0.5700,0.0296,0.5675,0.6435,0.0304
12,0.5767,0.0289,0.5193,0.6376,0.0310
13,0.5860,0.0283,0.5813,0.6547,0.0293
14,0.5927,0.0277,0.5642,0.6597,0.0290
15,0.5986,0.0271,0.5852,0.6641,0.0285
16,0.6062,0.0268,0.5935,0.6713,0.0279
17,0.6101,0.0262,0.5996,0.6749,0.0275
18,0.6149,0.0258,0.5856,0.6765,0.0275
19,0.6187,0.0254,0.5771,0.6731,0.0273
