epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.4577,0.0426,0.5711,0.6352,0.0293
1,0.6268,0.0250,0.5939,0.7146,0.0236
2,0.6939,0.0201,0.7308,0.7671,0.0198
3,0.7411,0.0164,0.7547,0.8055,0.0172
4,0.7773,0.0135,0.8002,0.8332,0.0155
5,0.8070,0.0114,0.8143,0.8463,0.0142
6,0.8352,0.0092,0.8236,0.8551,0.0132
7,0.8592,0.0074,0.8290,0.8697,0.0121
8,0.8838,0.0057,0.8505,0.8620,0.0174
9,0.9025,0.0045,0.8743,0.8847,0.0144
10,0.9181,0.0035,0.8062,0.8659,0.0117
11,0.9308,0.0027,0.8683,0.8890,0.0127
12,0.9396,0.0023,0.8710,0.8914,0.0147
13,0.9464,0.0020,0.8781,0.8950,0.0141
14,0.9512,0.0018,0.8723,0.8888,0.0150
15,0.9627,0.0013,0.8806,0.8940,0.0165
16,0.9583,0.0015,0.8818,0.8900,0.0181
17,0.9635,0.0013,0.8733,0.8957,0.0150
18,0.9677,0.0011,0.8839,0.8942,0.0196
19,0.9673,0.0011,0.8938,0.9001,0.0171
